Name,TimeDate,power,baro,windspeed1,windspeed2,winddirection,temp,power_max,power_min,power_dev,baro_max,baro_min,baro_dev,windspeed1_max,windspeed1_min,windspeed1_dev,windspeed2_max,windspeed2_min,windspeed2_dev,winddirection_max,winddirection_min,winddirection_dev,temp_max,temp_min,temp_std,grid,fault,grid_max,grid_min,grid_std,fault_max,fault_min,fault_std,windcha,tlqd,K_temp,md,v3,cp
1,2016/11/9 21:10,629.03,992.18,8.44,8.24,147.6,-2.56,670.82,562.07,27.34,992.53,992.0,0.0,9.12,7.39,0.31,8.95,7.16,0.3,158.44,137.21,4.4,-2.47,-2.91,0.1,1.0,0,1,1,0.0,0,0,0,0.2,0.0367298578199,270.59,1.27738312505,601.211584,0.00150317797657
1,2016/11/9 23:20,730.25,989.98,8.45,8.23,144.19,-1.91,894.29,502.35,85.23,990.3,989.61,0.0,9.91,6.55,0.62,9.81,6.22,0.63,157.69,123.74,4.29,-1.82,-2.31,0.08,1.0,0,1,1,0.0,0,0,0,0.22,0.0733727810651,271.24,1.27149639732,603.351125,0.00174692341094
1,2016/11/10 4:10,811.41,984.16,8.5,8.47,158.86,-0.05,1070.94,581.24,102.54,984.38,983.86,0.0,10.24,5.31,0.81,10.09,6.81,0.63,175.12,139.43,4.66,0.04,-0.32,0.08,1.0,0,1,1,0.0,0,0,0,0.03,0.0952941176471,273.1,1.25541252827,614.125,0.00193145538338
1,2016/11/10 15:30,943.89,976.62,8.65,8.58,197.64,4.88,1494.63,489.77,233.33,976.8,976.31,1.96,11.62,5.46,1.4,11.23,5.61,1.22,222.8,176.83,5.99,5.04,4.88,0.04,1.0,0,1,1,0.0,0,0,0,0.07,0.161849710983,278.03,1.2237040657,647.214625,0.00218717845795
1,2016/11/10 21:00,726.02,975.75,8.68,8.48,205.68,3.13,1167.43,508.32,153.64,975.88,975.55,0.0,10.84,6.41,0.87,10.73,6.37,0.84,223.92,187.33,6.36,3.14,3.07,0.02,1.0,0,1,1,0.0,0,0,0,0.2,0.100230414747,276.28,1.23035818119,653.972032,0.00165594309191
1,2016/11/10 3:50,182.0,984.69,8.69,8.5,153.25,-0.31,1154.54,-41.1,388.5,985.01,984.37,0.0,11.2,6.65,0.8,10.93,6.42,0.78,167.74,137.54,5.09,-0.05,-0.31,0.07,0.3,0,1,0,0.5,0,0,0,0.19,0.0920598388953,272.84,1.25728558237,656.234909,0.000404823470176
1,2016/11/10 22:30,845.0,975.59,8.79,8.67,217.33,2.67,1480.49,559.24,224.69,975.83,975.37,0.0,11.61,6.38,1.02,11.42,6.12,1.01,248.9,197.89,6.06,2.76,2.65,0.03,1.0,0,1,1,0.0,0,0,0,0.12,0.116040955631,275.82,1.23220803017,679.151439,0.00185307761195
1,2016/11/10 20:40,892.29,975.78,8.85,8.71,212.49,3.14,1487.72,599.78,193.89,976.04,975.58,1.73,11.3,6.1,1.04,11.13,6.47,1.0,232.57,196.37,6.0,3.22,3.11,0.04,1.0,0,1,1,0.0,0,0,0,0.14,0.117514124294,276.29,1.2303514765,693.154125,0.00192014744649
1,2016/11/10 1:50,669.16,987.17,8.87,8.65,143.85,-1.24,1033.54,-40.16,315.75,987.34,986.92,0.0,10.6,6.5,0.73,10.38,6.52,0.72,157.33,122.31,5.08,-1.2,-1.44,0.06,0.8,0,1,0,0.4,0,0,0,0.22,0.0822998872604,271.91,1.26476319104,697.864103,0.00139135340593
1,2016/11/10 15:40,1028.15,976.57,8.88,8.83,197.49,4.87,1484.57,679.62,173.96,976.78,976.34,1.53,11.7,6.25,1.09,11.31,6.56,0.93,219.99,176.81,5.95,4.96,4.85,0.04,1.0,0,1,1,0.0,0,0,0,0.05,0.122747747748,278.02,1.22368542845,700.227072,0.00220209146738
1,2016/11/10 1:40,331.25,987.35,8.88,8.67,143.65,-1.33,1042.34,-39.53,434.18,987.53,987.06,0.0,10.38,6.99,0.58,10.21,6.76,0.56,163.31,127.32,4.49,-1.32,-1.68,0.08,0.5,0,1,0,0.5,0,0,0,0.21,0.0653153153153,271.82,1.26541264852,700.227072,0.000686076238974
1,2016/11/10 8:30,809.39,981.48,8.89,8.83,197.97,2.44,1492.75,424.71,236.82,981.7,981.22,0.0,12.69,5.21,1.28,12.42,6.22,1.11,217.62,174.44,7.28,2.53,2.26,0.05,1.0,0,1,1,0.0,0,0,0,0.06,0.14398200225,275.59,1.24068190506,702.595369,0.00170403952272
1,2016/11/10 8:40,941.89,981.35,8.89,8.77,200.2,2.61,1488.35,507.06,240.24,981.5,981.05,0.0,12.4,6.4,1.14,11.6,6.17,1.03,236.55,177.39,7.62,2.7,2.44,0.05,1.0,0,1,1,0.0,0,0,0,0.12,0.128233970754,275.76,1.23975282107,702.595369,0.0019844828865
1,2016/11/10 20:50,913.82,975.79,8.92,8.78,210.25,3.14,1396.57,528.12,190.49,975.88,975.58,0.0,11.35,6.59,0.95,11.16,6.42,0.93,227.2,193.96,4.72,3.23,3.11,0.03,1.0,0,1,1,0.0,0,0,0,0.14,0.106502242152,276.29,1.2303640854,709.732288,0.00192052520121
1,2016/11/10 4:00,917.37,984.42,8.94,8.75,154.66,-0.22,1182.83,720.48,105.85,984.6,984.12,2.31,11.15,6.65,0.74,11.0,6.66,0.73,169.73,138.92,4.9,-0.04,-0.36,0.09,1.0,0,1,1,0.0,0,0,0,0.19,0.082774049217,272.93,1.25652635483,714.516984,0.0018752014723
1,2016/11/10 22:20,894.98,975.6,8.99,8.85,216.92,2.76,1485.52,406.48,216.65,975.66,975.37,0.0,11.5,6.2,1.01,11.2,6.02,0.98,234.16,190.84,5.96,2.76,2.74,0.0,1.0,0,1,1,0.0,0,0,0,0.14,0.11234705228,275.91,1.23181871841,726.572699,0.00183516456968
1,2016/11/10 22:40,913.44,975.59,9.08,8.99,219.5,2.67,1352.25,645.36,156.43,975.65,975.33,0.0,11.3,6.79,0.83,10.93,6.78,0.82,238.43,204.29,5.5,2.76,2.65,0.01,1.0,0,1,1,0.0,0,0,0,0.09,0.09140969163,275.82,1.23220803017,748.613312,0.00181729740111
1,2016/11/10 20:10,939.07,975.96,9.09,8.97,214.36,3.21,1488.66,523.41,260.43,976.24,975.76,2.4,12.24,6.5,1.22,12.02,6.45,1.22,235.71,194.21,6.62,3.3,3.19,0.04,1.0,0,1,1,0.0,0,0,0,0.12,0.134213421342,276.36,1.23026674007,751.089429,0.00186506767014
1,2016/11/10 22:00,952.09,975.63,9.11,8.98,215.94,2.76,1477.97,647.24,167.25,975.85,975.55,0.0,11.8,6.36,0.95,11.77,6.35,0.94,232.24,193.25,5.89,2.84,2.74,0.04,1.0,0,1,1,0.0,0,0,0,0.13,0.104281009879,275.91,1.23185659721,756.058031,0.00187607535843
1,2016/11/10 1:30,307.66,987.45,9.21,8.98,144.22,-1.5,1206.09,-38.27,467.53,987.71,987.25,0.0,10.8,7.24,0.61,10.48,7.01,0.6,156.61,129.62,4.44,-1.5,-1.7,0.06,0.3,0,1,0,0.5,0,0,0,0.23,0.0662323561346,271.65,1.26633279314,781.229961,0.000570731511481
1,2016/11/10 15:50,1024.07,976.52,9.24,9.08,198.59,4.83,1488.35,683.71,190.67,976.77,976.29,2.14,12.64,6.74,1.19,12.04,7.01,1.06,217.69,177.93,6.38,4.88,4.74,0.03,1.0,0,1,1,0.0,0,0,0,0.16,0.128787878788,277.98,1.22379884974,788.889024,0.00194666512983
1,2016/11/10 22:10,951.76,975.62,9.27,9.11,217.36,2.75,1485.52,531.58,232.88,975.66,975.43,0.0,12.87,6.14,1.2,12.22,6.17,1.15,245.11,199.39,6.04,2.84,2.74,0.0,1.0,0,1,1,0.0,0,0,0,0.16,0.129449838188,275.9,1.23188861915,796.597983,0.00177993590301
1,2016/11/10 20:30,1003.24,975.85,9.37,9.22,214.39,3.21,1487.09,587.53,232.58,976.06,975.58,1.46,13.3,6.64,0.99,13.16,6.76,0.96,243.75,198.2,5.81,3.31,3.11,0.02,1.0,0,1,1,0.0,0,0,0,0.15,0.105656350053,276.36,1.23012807728,822.656953,0.00181937949487
1,2016/11/10 20:20,1055.56,975.97,9.37,9.24,213.57,3.22,1494.63,566.47,232.46,976.26,975.63,1.99,12.11,6.88,1.14,11.92,6.91,1.11,235.94,190.07,5.77,3.31,3.11,0.02,1.0,0,1,1,0.0,0,0,0,0.13,0.12166488794,276.37,1.23023483012,822.656953,0.00191409590183
1,2016/11/10 21:50,1022.93,975.65,9.41,9.27,216.79,2.84,1434.28,585.01,185.46,975.85,975.43,0.0,12.18,6.79,1.06,11.92,6.81,1.02,242.81,196.63,6.04,2.84,2.74,0.04,1.0,0,1,1,0.0,0,0,0,0.14,0.112646121148,275.99,1.23152476961,833.237621,0.00182945383236
1,2016/11/10 16:00,1099.66,976.44,9.49,9.31,200.39,4.88,1494.95,608.9,216.15,976.59,976.24,2.57,12.14,7.04,0.99,11.27,7.1,0.93,222.89,178.61,6.4,4.88,4.82,0.02,1.0,0,1,1,0.0,0,0,0,0.18,0.104320337197,278.03,1.22347852585,854.670349,0.00192997196144
