driver,trip,Average_speed,Average_ABS_Acceleration,Average_RPM,Variance_speed,Variance_ABS_Acceleration,Variance_RPM,v_a,v_b,v_c,v_d,a_a,a_b,a_c,r_a,r_b,r_c,Catrgory
41031400114,61,8,0.243361,1267.590909,43.134021,0.272822,164439.9218,0.45193,0.070877,0.304561,0.172632,0.488421,0.365614,0.145965,0.359298,0.640702,0,cluster1
41031400114,62,8,0.137231,1312.066038,58.093657,0.03574,207574.8242,0.460036,0.150977,0.216992,0.171995,0.601243,0.32534,0.073416,0.34103,0.589994,0.068976,cluster1
41031400114,63,8,0.080506,1271.602094,48.313929,0.010627,208872.6619,0.475057,0.175575,0.159216,0.190152,0.711694,0.268222,0.020084,0.324101,0.604956,0.070943,cluster1
41031400114,64,10,0.734068,1353.72,97.683128,3.168546,428168.7933,0.399474,0.219448,0.085414,0.295664,0.622865,0.344284,0.032852,0.269382,0.668857,0.061761,cluster1
41031400114,65,3,0.07235,1106,8.928989,0.003548,138539.8182,0.637119,0.362881,0,0,0.631579,0.368421,0,0.65928,0.34072,0,cluster0
41031400114,66,11,0.124235,1473.70068,81.02883,0.02779,344503.3071,0.384379,0.074416,0.189627,0.351579,0.618901,0.291308,0.089791,0.312833,0.435014,0.252153,cluster1
41031400114,67,7,0.116563,1239.142857,51.188508,0.015557,212418.0417,0.415525,0.215917,0.242009,0.126549,0.595564,0.274625,0.129811,0.335943,0.620352,0.043705,cluster1
41031400114,68,7,0.105857,1176.275,53.21695,0.027269,192679.5378,0.503115,0.109813,0.232866,0.154206,0.679907,0.283489,0.036604,0.475857,0.497664,0.02648,cluster1
41031400114,69,10,0.135814,1430.083333,47.610262,0.035234,216047.4603,0.393109,0.134169,0.226573,0.24615,0.630906,0.302271,0.066823,0.299922,0.580527,0.119551,cluster1
41031400114,70,6,0.18926,1226.580645,35.746862,0.075382,199732.6809,0.572219,0.180963,0.218871,0.027947,0.588821,0.26259,0.148589,0.514388,0.467349,0.018262,cluster2
41031400114,71,7,0.267135,1285.969697,28.798547,0.225532,188724.6553,0.382591,0.3583,0.259109,0,0.515182,0.300607,0.184211,0.351215,0.548583,0.100202,cluster2
41031400114,72,10,0.198061,1431.836364,50.463735,0.139134,191624.5785,0.283226,0.149099,0.310113,0.257562,0.552093,0.318668,0.129239,0.240452,0.635808,0.12374,cluster1
41031400114,73,10,0.137357,1408.115044,49.393142,0.075204,177122.1027,0.365116,0.184699,0.204967,0.245218,0.582929,0.346846,0.070226,0.231801,0.699971,0.068227,cluster1
41031400114,74,3,0.206019,955.5,9.876543,0.0163,172284.5,0.444444,0.555556,0,0,0,1,0,0.444444,0.555556,0,cluster2
41031400114,75,6,0.194499,1113.451613,29.09681,0.139863,122349.3009,0.462349,0.290161,0.226908,0.020582,0.502008,0.267068,0.230924,0.485442,0.514558,0,cluster2
41031400114,76,5,0.283019,1315,11.160347,0.177014,119609.8571,0.111429,0.794286,0.094286,0,0.688571,0.271429,0.04,0.031429,0.968571,0,cluster2
41031400114,77,7,0.27244,1407.470588,19.395084,0.202818,151190.6397,0.264479,0.409266,0.326255,0,0.511583,0.260618,0.227799,0.19305,0.743243,0.063707,cluster1
41031400114,78,0,0.009296,898.578313,1.060656,0.001387,18055.68587,0.975322,0.024678,0,0,0.963536,0.036464,0,0.93628,0.06372,0,cluster0
41031400114,79,6,0.148644,1190.116279,35.470573,0.038466,189218.0569,0.497878,0.222065,0.252829,0.027228,0.557638,0.291372,0.15099,0.520156,0.428218,0.051627,cluster2
41031400114,80,9,0.152336,1363.02521,45.962718,0.090004,181882.0756,0.341224,0.218776,0.205442,0.234558,0.596463,0.331701,0.071837,0.25551,0.685986,0.058503,cluster1
41031400114,81,10,0.116193,1410.096,52.399661,0.015034,270487.5391,0.314165,0.151855,0.307443,0.226537,0.561364,0.346278,0.092357,0.311675,0.555639,0.132686,cluster1
41031400114,82,7,0.140636,1349.668874,40.790287,0.082311,128873.903,0.486713,0.221385,0.168027,0.123875,0.699309,0.245658,0.055032,0.227453,0.720025,0.052521,cluster1
41031400114,83,0,0.180556,1076.75,3.260031,0.130401,95136.25,1,0,0,0,0.722222,0,0.277778,0.722222,0.277778,0,cluster0
41031400114,84,6,0.153032,1231.899281,30.926233,0.22054,149139.497,0.599036,0.211876,0.101884,0.087204,0.684268,0.282428,0.033304,0.37511,0.588957,0.035933,cluster2
41031400114,85,4,0.088032,1257.266667,14.169606,0.008665,121292.3524,0.722917,0.141667,0.135417,0,0.791667,0.1375,0.070833,0.3125,0.6875,0,cluster2
41031400114,86,4,0.223978,1221.222222,17.408265,0.013092,71634.19444,0.680952,0.147619,0.171429,0,0.314286,0.609524,0.07619,0.328571,0.671429,0,cluster2
41031400114,87,9,0.087212,1427.392523,95.013073,0.011067,331430.2218,0.543046,0.104687,0.088385,0.263882,0.712175,0.231024,0.056801,0.489557,0.299287,0.211156,cluster1
41031400114,88,4,0.11188,1213.666667,24.324846,0.016853,72324.75,0.62963,0.244444,0.125926,0,0.633333,0.248148,0.118519,0.388889,0.611111,0,cluster2
41031400114,89,10,0.14112,1428.622222,60.304957,0.073772,236436.9831,0.332261,0.281939,0.134421,0.251379,0.609145,0.299862,0.090993,0.29159,0.542509,0.165901,cluster1
41031400114,90,1,0.486111,1064.5,7.87037,0.434028,172939,0.733333,0.266667,0,0,0.266667,0.466667,0.266667,0.733333,0.266667,0,cluster0
41031400114,91,10,0.094085,1447.519231,38.175709,0.008618,159775.2618,0.291472,0.186332,0.314252,0.207944,0.636974,0.324766,0.038259,0.216414,0.694509,0.089077,cluster1
41031400114,92,3,0.087163,1055.5,4.269547,0.000828,34857,1,0,0,0,0.721739,0.278261,0,0.426087,0.573913,0,cluster0
41031400114,93,3,0.135941,1086.318841,18.42215,0.08651,55879.66155,0.750814,0.169224,0.079963,0,0.712227,0.228266,0.059507,0.609484,0.390516,0,cluster0
41031400114,94,4,0.193983,1142.928571,28.899149,0.023966,69135.91758,0.671605,0.165432,0.162963,0,0.325926,0.345679,0.328395,0.57284,0.42716,0,cluster2
41031400114,95,8,0.13628,1354.278195,45.275392,0.039322,201111.0205,0.452337,0.177696,0.191809,0.178158,0.706617,0.211013,0.082369,0.260528,0.635585,0.103887,cluster1
41031400114,96,5,0.174121,1191.666667,24.234849,0.074958,143668.3,0.57736,0.277712,0.10615,0.038778,0.641206,0.296122,0.062671,0.320016,0.654132,0.025852,cluster2
41031400114,97,5,0.09882,1175.925,39.745149,0.03219,152130.5101,0.650157,0.128996,0.172427,0.04842,0.726853,0.233783,0.039364,0.519867,0.448716,0.031417,cluster2
41031400114,98,10,0.103505,1340.540816,38.373823,0.014505,145674.4158,0.301299,0.244156,0.262013,0.192532,0.719805,0.219805,0.06039,0.214286,0.742857,0.042857,cluster1
41031400114,99,6,0.180245,1250.2,36.497303,0.024961,216708.3412,0.510061,0.144357,0.31671,0.028871,0.382327,0.348206,0.269466,0.466317,0.47769,0.055993,cluster2
41031400114,100,6,0.158101,1152.666667,11.342593,0.006533,41890.33333,0.441558,0.558442,0,0,0.441558,0.558442,0,0,1,0,cluster2
41031400114,101,5,0.157643,1101.095238,34.096538,0.178983,157264.1735,0.598605,0.175408,0.173041,0.052946,0.695154,0.235082,0.069765,0.561854,0.414974,0.023172,cluster2
41031400114,102,0,0.067438,931.777778,3.839869,0.038591,63489.35948,0.934911,0.065089,0,0,0.915187,0.072978,0.011834,0.82643,0.17357,0,cluster0
41031400972,1,0,0,868.8,0,0,10379.06667,1,0,0,0,1,0,0,0.937695,0.062305,0,cluster0
