REGION,DATE,WEEK,HOLIDAY,Min_T,Max_T,AVG_T,RAIN,0:00:00,0:30:00,1:00:00,1:30:00,2:00:00,2:30:00,3:00:00,3:30:00,4:00:00,4:30:00,5:00:00,5:30:00,6:00:00,6:30:00,7:00:00,7:30:00,8:00:00,8:30:00,9:00:00,9:30:00,10:00:00,10:30:00,11:00:00,11:30:00,12:00:00,12:30:00,13:00:00,13:30:00,14:00:00,14:30:00,15:00:00,15:30:00,16:00:00,16:30:00,17:00:00,17:30:00,18:00:00,18:30:00,19:00:00,19:30:00,20:00:00,20:30:00,21:00:00,21:30:00,22:00:00,22:30:00,23:00:00,23:30:00,AVG_ELE,TOTAL_ELE
NSW,2015/1/23,5,0,22.4,29.1,25.75,0,7635.58,7434.92,7203.5,6881.56,6654.2,6498.82,6433.16,6365.25,6429.47,6673.26,6876.94,7297.94,7655.77,8090.63,8580.48,8932.46,9204.29,9502.95,9628.48,9813.97,10005.76,10141.61,10280.83,10372.56,10505.08,10651.02,10784.73,10906.22,11025.21,11156.46,11241.28,11325.38,11261.79,11234.62,11045.41,10591,10297.95,10011.92,9718.62,9634.65,9553.11,9354.95,9130.56,9061.71,8737.56,8551.92,8349.81,8049.94,9099.485208,436775.29
NSW,2015/1/24,6,0,22.7,29.1,25.9,0,7787.51,7539.31,7276.23,6944.26,6664.25,6504.6,6380.96,6349.57,6371.1,6425.79,6498.16,6597.37,6773.28,7031.09,7335.67,7699.44,7990.32,8333.12,8476.08,8674.73,8781.92,8931.71,9115.02,9176.7,9352.24,9430.28,9557.22,9562.59,9671.33,9736.25,9870.61,9881.47,9838.41,9706.61,9647.79,9330.17,9248.75,9030.27,8898.19,8928.52,8905.59,8702.58,8522.72,8246.02,8049.24,7871.4,7557.87,7389.16,8262.363958,396593.47
NSW,2015/1/25,7,0,21.6,34.4,28,1.2,7143.49,6987.18,6776.12,6472.55,6282.04,6083.86,6038.33,6015.31,6022,6029.17,6071.58,6073.8,6231.09,6413.89,6667.29,6949.64,7215.41,7576.57,7787.3,8028.6,8226.75,8427.3,8610.95,8762.72,8939.37,9118.37,9320.97,9512.85,9572.02,9635.17,9790.96,9820.54,9890.24,9968.94,10044.85,9985.17,9932.12,9669.22,9245.9,8963.16,8925.95,8722.15,8408.86,8160.35,7905.02,7770.16,7445.27,7195.69,8017.421667,384836.24
NSW,2015/1/26,1,1,20.2,20.4,20.3,0,6983.16,6806.84,6547.53,6299.17,6157.61,6031.07,5991.73,5922.66,5951.1,6038.61,6066.05,6241.01,6328.59,6506.06,6730.65,7003.42,7195.33,7406.26,7539.72,7661.42,7703.45,7723.76,7678.35,7594.86,7532.75,7489.71,7398.57,7308.46,7290.12,7298.63,7343.73,7295.07,7385.64,7442.25,7551.51,7469.08,7473.01,7358.58,7299.76,7370.57,7448.04,7337.23,7197.25,7208.25,7125.32,7064.54,6993.08,6820.93,7033.551875,337610.49
NSW,2015/1/27,2,0,18.9,20.4,19.65,38,6736.7,6606,6411.95,6169.01,5901.71,5811.1,5743.16,5777.33,5797.16,6056.79,6268.39,6808.69,7262.94,7670.59,8035.91,8307.77,8513.61,8677.88,8772.97,8920.48,8965.99,8946.47,8897.33,8721.35,8737.69,8689.68,8686,8627.94,8626.75,8551.17,8500.96,8455.71,8526.59,8510.68,8567.82,8408.22,8351.14,8243.92,8110.67,8031.8,8002.77,7802.39,7600.01,7575.65,7426.28,7370.76,7284.62,7154.46,7742.186667,371624.96
NSW,2015/1/28,3,0,17.3,20.5,18.9,75,7032.76,6887.34,6707.78,6316.13,6074.98,5937.38,5881.89,5853.2,5888.61,6102.63,6326.34,6837.25,7316.07,7730.49,8119.23,8259.32,8291.61,8411.81,8494.22,8544.53,8522.03,8525.14,8520.96,8389.85,8332.66,8300.63,8238.88,8247.6,8197.15,8144.19,8136.41,8172.28,8275.91,8268.33,8281.29,8132.83,8053.85,7956.06,7884.03,7951.86,7974.58,7790.41,7575.07,7609.62,7408.45,7405.32,7272.96,7168.36,7619.7975,365750.28
NSW,2015/1/29,4,0,14.6,24.3,19.45,17.4,7088.03,6918.07,6727.47,6383.15,6121.39,5940.77,5861.97,5884.34,5956.44,6143.67,6398.93,6901.9,7369.36,7728.77,7990.31,8030.51,7994.62,8050.59,8072.63,8048.89,8058.49,8006.92,8009.64,8035.84,7996.05,8029.64,8013.25,8039.19,7993.41,7998.23,8054.61,8055.03,8112.11,8153.41,8246.89,8180.64,8127.51,8073.96,8024.35,8101.14,8140.1,7881,7639.67,7601.01,7438.58,7377.46,7259.04,7156.11,7529.481042,361415.09
NSW,2015/1/30,5,0,15.2,27.3,21.25,0,7069.08,6885.27,6666.69,6360.5,6143.38,5939,5878.33,5869,5935.9,6161.72,6426.13,6906.52,7342.44,7692,7988.46,8102.33,8046.98,8113.8,8151.86,8223.83,8274.95,8224.79,8211.85,8173.23,8109.78,8115.24,8135.39,8108.73,8136.17,8126.43,8229.91,8275.3,8364.1,8329.46,8248.13,8113.68,8015.84,7899.77,7822.99,7850.44,7948.56,7762.13,7529.7,7572.3,7466.63,7441.27,7306.39,7130.28,7558.88875,362826.66
NSW,2015/1/31,6,0,17,26.1,21.55,0,6997.03,6814.82,6594.09,6309.61,6070.77,5833.81,5756.91,5709.1,5764.2,5776.93,5887.01,5999.74,6163.97,6416.46,6742.78,7023.41,7265.42,7471.2,7476.88,7533.33,7484.14,7462.04,7463.83,7364.22,7310.5,7334.88,7309.51,7318.2,7344.02,7403.24,7483.68,7532.98,7610.84,7482.1,7529.91,7568.69,7596.37,7507.62,7473.19,7541.38,7597.26,7456.22,7316.86,7228.51,7185.58,7151.28,6959.63,6744.18,7007.673542,336368.33
NSW,2015/2/1,7,0,19.3,26.6,22.95,0,6608.96,6449.79,6269.43,6021.99,5846.17,5718.94,5619.36,5580.75,5607.97,5631.07,5679.32,5785.94,5873.19,6073.37,6314.07,6556.38,6801.57,7037.31,7148.99,7271.6,7321.94,7336.06,7330.86,7365.7,7408.57,7393.35,7371.54,7366.16,7390.48,7434.9,7539.67,7552.42,7606.13,7603.41,7771.38,7815.78,7868.91,7739.87,7673.9,7707.26,7685.73,7582.43,7369.87,7220.52,7088.58,7036.15,6787.34,6651.9,6914.937083,331916.98
NSW,2015/2/2,1,0,18,25,21.5,3.8,6560.03,6427.04,6304.17,6034.72,5873.82,5782.89,5753.39,5767.33,5808.67,6071.33,6321.44,6922.02,7382.67,7837.99,8165.69,8238.43,8285.14,8355.05,8406.61,8459.58,8460.27,8444.72,8446.55,8521.1,8532.69,8592.18,8575.1,8540.72,8498.61,8436.77,8475.02,8497.58,8598.42,8560.98,8510.32,8374.83,8252.49,8122.19,7973.82,8008.5,8026.39,7842.95,7643.65,7565.78,7372.24,7324.76,7168.73,7061.4,7649.724375,367186.77
NSW,2015/2/3,2,0,18.5,26.5,22.5,1.4,6938.3,6808.69,6603.42,6276.74,6088.16,5911.2,5814.64,5905.5,5945.39,6153.89,6400.1,6915.96,7382.05,7747.31,8080.77,8167.08,8234.71,8314.74,8375.43,8455.01,8478.05,8382.94,8393.26,8351.69,8371.33,8420.35,8378.56,8403.32,8416.9,8368.53,8424.68,8581.67,8585.82,8619.4,8598.85,8473,8388.48,8239.01,8161.53,8132.72,8190.82,7990.4,7715.8,7659.04,7448.58,7379.31,7275.81,7095.72,7696.76375,369444.66
NSW,2015/2/4,3,0,17.3,25.6,21.45,1.6,7048.62,6830.73,6628.57,6273.04,6047.86,5867.69,5786.73,5744.54,5794.32,6041,6312.15,6843.74,7294.41,7644.45,7986.82,8056.94,8112.16,8235.03,8259.13,8356.99,8444.19,8448.53,8472.51,8460.3,8430.73,8410.5,8409.52,8356.2,8335.7,8303.56,8359.63,8401.89,8420.66,8392.85,8356.25,8180.36,8155.9,8012.89,7926.72,7977.47,7920.27,7787.43,7586.79,7516.87,7318.96,7279.22,7171.84,7014.38,7604.521667,365017.04
